vccint_voltage_average, vccint_current_average , vccint_power_average , vccpint_voltage_average , vccpint_current_average , vccpint_power_average , vccaux_voltage_average , vccaux_current_average , vccaux_power_average , vccpaux_voltage_average , vccpaux_current_average , vccpaux_power_average , vcc1v5_voltage_average , vcc1v5_current_average , vcc1v5_power_average  
1.002145, 0.159598, 0.159928, 1.003139, 0.325893, 0.326887, 1.804007, 0.023438, 0.042289, 1.800607, 0.055804, 0.100471, 1.506836, 0.368304, 0.554977
1.001482, 0.140625, 0.140823, 1.003871, 0.327009, 0.328264, 1.802525, 0.025670, 0.046237, 1.799334, 0.073661, 0.132550, 1.506662, 0.377232, 0.568361
1.001814, 0.141741, 0.141984, 1.003348, 0.339286, 0.340433, 1.803013, 0.031250, 0.056328, 1.797346, 0.082589, 0.148407, 1.506714, 0.382812, 0.576780
1.002023, 0.141741, 0.142033, 1.003697, 0.329241, 0.330469, 1.802403, 0.026786, 0.048277, 1.799683, 0.080357, 0.144636, 1.507150, 0.379464, 0.571923
1.001343, 0.142857, 0.143038, 1.003836, 0.313616, 0.314827, 1.801409, 0.031250, 0.056293, 1.799229, 0.070312, 0.126509, 1.506505, 0.387277, 0.583426
1.000698, 0.138393, 0.138489, 1.001343, 0.303571, 0.303987, 1.804653, 0.024554, 0.044309, 1.798235, 0.082589, 0.148573, 1.506941, 0.390625, 0.588646
1.001378, 0.140625, 0.140841, 1.003017, 0.318080, 0.319021, 1.803118, 0.018973, 0.034181, 1.801496, 0.066964, 0.120625, 1.507324, 0.383929, 0.578696
1.002720, 0.150670, 0.151045, 1.002058, 0.290179, 0.290754, 1.802560, 0.035714, 0.064375, 1.799229, 0.069196, 0.124499, 1.506714, 0.393973, 0.593615
1.002546, 0.139509, 0.139856, 1.003209, 0.337054, 0.338127, 1.803188, 0.037946, 0.068462, 1.799595, 0.061384, 0.110464, 1.507167, 0.363839, 0.548373
1.001726, 0.143973, 0.144227, 1.003749, 0.310268, 0.311437, 1.802822, 0.013393, 0.024142, 1.799351, 0.088170, 0.158672, 1.507185, 0.373884, 0.563514
